query_id,query_text,triggered_ai_overview
2001150,how often should a 60 year old lift weights,n
471153,how to disable security software temporarily,y
4146142,what makes florida special,y
3546964,how to upcycle old clothing,y
3541044,how to fix waney edge cladding,b
2009255,how to reference a picture from a book,b
1996814,how did the simulated experience of linda waterfallâ€™s case make you feel?,b
8742902,what color is your birth,y
1080004,when was myocarditis discovered,y
6610960,how to help gorillas,y
473198,how to hacking wifi network,n
472651,how to get gta 5 for free on pc on windows 10,n
1086996,why does my toilet run every 5 minutes,y
3539620,how to cure pork ham,b
3543616,how to make website easily,y
8141918,how to bleed ac system car,n
471762,how to export a database in sql server,b
8747370,what is natural light photography,y
3531989,how big was the crowd on jan 6th,b
8742783,what causes the tip of my tongue to burn,y
6610303,how to get free shipping from amazon,y
3540281,how to draw a girl easy,n
7209951,what does blackpill mean,b
4147074,what to put in bridal shower favor bags,y
463970,how do i say youre my love and hero elowuent!y,b
2604220,what drugs make you hallucinate,b
6611149,how to insert a solid line in word,y
5081342,how to super compress a pdf,y
4146986,what to do with oil after deep frying,y
2603066,what do i do when i drop my phone in water,y
3538716,how to check if marriage is registered,n
5080329,how to restrict remote desktop user access,y
1996723,how did jill biden meet joe biden,y
1086715,why do people believe conspiracy theories,n
5684385,when was joel osteen divorced,b
1087901,why therapy doesn't work for some people,y
5677297,what is a transfer airport for usps,b
5082359,how to view only fans for free,n
4142989,what is deca steroid,b
476377,how to restart application into unhandledexception by vb.net,b
7212781,what is data privacy and why is it important,b
8150573,how to tell someone to be more confident,y
2005236,how to find roblox codes,y
5683739,when does pansear learn ember,b
1076655,what kind of substance is being represented by the structure below?,b
8744804,what happens on st patrick's day,y
4897381,does biotin help your hair grow,n
5678016,what is delta h,y
8755036,which eboy are you quiz,n
2619899,why filioque should not divide christians,b
